#{"t_start": 1776233236.5888731, "env_id": "None"}
r,l,t
4.778483,12,68.602845
3.698201,12,68.665518
5.840671,12,68.718525
6.159831,12,68.789354
5.402721,12,68.858366
4.894271,12,68.923534
5.14753,12,68.974189
4.42567,12,69.036386
5.281746,12,69.090385
6.26248,12,69.169447
6.385921,12,69.233831
4.8122,12,69.312387
5.654766,12,69.401679
5.086066,12,69.485394
6.44943,12,69.538766
5.338491,12,69.592851
5.675099,12,69.651592
5.609041,12,69.716205
5.358544,12,69.778
5.308068,12,69.826031
5.767835,12,69.892527
4.701211,12,69.956831
4.829066,12,70.017207
5.342618,12,70.08219
3.835606,12,70.167793
5.118185,12,70.242027
5.952591,12,70.30104
5.171608,12,70.99625
5.159672,12,71.048448
6.071614,12,71.106388
6.424486,12,71.224572
5.753764,12,71.288894
5.55996,12,71.341533
5.222662,12,71.395247
5.370599,12,71.448561
5.59913,12,71.508647
5.25541,12,71.564098
4.981742,12,71.621309
5.49145,12,71.686296
4.953086,12,71.763591
5.718995,12,71.8146
5.854253,12,71.867903
5.038946,12,71.939056
6.508681,12,72.004256
6.615129,12,72.067891
6.149582,12,72.123914
5.345656,12,72.184135
5.685197,12,72.241871
6.193572,12,72.309219
5.724833,12,72.3782
4.820183,12,72.44563
6.517807,12,72.501689
5.204587,12,72.55723
4.777247,12,72.616723
6.236389,12,72.692544
5.800274,12,72.768538
5.338603,12,72.835327
4.270447,12,72.897316
4.916359,12,72.960173
5.947975,12,73.026191
5.946058,12,73.103825
4.554843,12,73.16409
5.248817,12,73.236449
5.998886,12,73.302171
5.112015,12,73.35936
5.875714,12,73.421424
4.333623,12,73.476281
6.218249,12,73.538984
5.282828,12,73.592867
6.937878,12,73.646474
5.689188,12,74.323535
4.965088,12,74.394796
5.273917,12,74.471838
5.191368,12,74.542706
5.48689,12,74.598795
4.066082,12,74.657784
5.913888,12,74.733608
5.719925,12,74.857688
4.613417,12,74.994002
4.305347,12,75.056857
4.771749,12,75.115255
5.456946,12,75.1786
5.758058,12,75.252861
5.825039,12,75.331617
5.887477,12,75.412004
4.381715,12,75.497508
6.188947,12,75.581025
6.636332,12,75.686831
5.729227,12,75.754056
5.469737,12,75.807952
4.432145,12,75.852485
5.952703,12,75.900762
5.536325,12,75.95238
5.405862,12,76.001607
5.394697,12,76.045974
4.905449,12,76.093138
5.395771,12,76.138761
5.987213,12,76.191268
5.980798,12,76.248854
5.778815,12,76.308011
4.548701,12,76.368549
5.677408,12,76.420833
5.565435,12,76.472015
5.932848,12,76.525021
6.132986,12,76.567302
5.541739,12,76.648419
5.172982,12,76.702676
5.42416,12,76.762239
5.773245,12,76.846732
5.274553,12,76.932312
5.76815,12,77.037054
4.19791,12,77.14719
5.836897,12,77.221617
6.56699,12,77.95614
4.716221,12,78.016453
5.309175,12,78.086493
4.43736,12,78.139762
4.769609,12,78.211819
4.929883,12,78.276161
5.717739,12,78.358661
6.406331,12,78.414655
4.822612,12,78.461439
5.470234,12,78.519822
5.438724,12,78.573336
4.995471,12,78.621337
4.821092,12,78.681
4.724543,12,78.76977
5.501438,12,78.855601
4.944607,12,78.947041
4.844238,12,78.996831
4.847597,12,79.059275
5.844569,12,79.120098
6.178007,12,79.185457
6.064711,12,79.25114
5.169678,12,79.332115
5.565428,12,79.392481
4.16813,12,79.439543
6.188776,12,79.506783
5.164795,12,79.569837
4.891478,12,79.632282
6.272657,12,79.696031
6.18158,12,79.756483
5.599673,12,79.821635
5.660971,12,79.879278
6.39936,12,79.939595
4.463716,12,80.003235
5.843074,12,80.064819
3.888403,12,80.11334
6.03421,12,80.169117
5.870595,12,80.220345
5.034066,12,80.267178
5.163711,12,80.316178
4.52277,12,80.3715
4.926575,12,80.422495
5.301947,12,80.469531
4.115703,12,81.313089
5.93393,12,81.387769
5.334339,12,81.466044
6.544184,12,81.614662
6.093415,12,81.749782
