#{"t_start": 1775802262.372729, "env_id": "None"}
r,l,t
9.18644,12,48.879421
9.254224,12,48.906936
10.235588,12,48.937789
9.833771,12,48.97079
8.88965,12,49.0008
9.567028,12,49.03383
8.869401,12,49.073721
8.350209,12,49.103113
8.789951,12,49.138792
8.232562,12,49.172252
8.906234,12,49.206721
8.761448,12,49.23472
8.8015,12,49.263818
9.825388,12,49.290733
7.707968,12,49.32625
9.737273,12,49.355248
8.446233,12,49.386675
9.539128,12,49.422395
9.828364,12,49.448382
9.110507,12,49.475377
8.671195,12,49.507961
8.37241,12,49.536962
8.882676,12,49.565046
9.209124,12,49.608491
8.838452,12,49.637492
9.436107,12,49.668487
10.091099,12,49.6985
7.491236,12,49.728132
8.241011,12,49.757019
9.681874,12,50.074981
